"TIME","METROREG","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"1999","Belgium","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,109",""
"2001","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,165.2",""
"2002","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,157.3",""
"2003","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,153.8",""
"2004","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,194.7",""
"2005","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,255.2",""
"2006","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,302.8",""
"2007","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,373.9",""
"2008","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,452.9",""
"2009","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,464.2",""
"2010","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,493",""
"2011","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,553.1",""
"2012","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,572.4",""
"2013","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,559.1",""
"2014","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,577.2",""
"2015","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,617.3",""
"2016","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,675.4",""
"2017","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,751.5",""
"2018","Belgium","Thousand persons","Employed persons","Total - all NACE activities","4,817.1",""
"1999","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,075","u"
"2001","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,100","u"
"2002","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,089","u"
"2003","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,088.4",""
"2004","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,093.9",""
"2005","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,111.2",""
"2006","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,111",""
"2007","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,134.1",""
"2008","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,157",""
"2009","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,160.1",""
"2010","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,163",""
"2011","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,182.5",""
"2012","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,188.7",""
"2013","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,187.3",""
"2014","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,194.2",""
"2015","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,199.4",""
"2016","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,212",""
"2017","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,228.4",""
"2018","Bruxelles / Brussel","Thousand persons","Employed persons","Total - all NACE activities","1,241.2",""
"1999","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","421","u"
"2001","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","423","u"
"2002","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","425","u"
"2003","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","422.6",""
"2004","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","428.7",""
"2005","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","434.9",""
"2006","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","441.4",""
"2007","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","447.5",""
"2008","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","455.3",""
"2009","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","456.4",""
"2010","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","459.3",""
"2011","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","463.7",""
"2012","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","464.9",""
"2013","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","463.5",""
"2014","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","462.6",""
"2015","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","466.5",""
"2016","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","471.6",""
"2017","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","480.1",""
"2018","Antwerpen","Thousand persons","Employed persons","Total - all NACE activities","487.1",""
"1999","Gent","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Gent","Thousand persons","Employed persons","Total - all NACE activities","251","u"
"2001","Gent","Thousand persons","Employed persons","Total - all NACE activities","253","u"
"2002","Gent","Thousand persons","Employed persons","Total - all NACE activities","256","u"
"2003","Gent","Thousand persons","Employed persons","Total - all NACE activities","257.6",""
"2004","Gent","Thousand persons","Employed persons","Total - all NACE activities","260.8",""
