"TIME","METROREG","UNIT","Value","Flag and Footnotes"
"2000","Belgium","Million euro","256,376.4",""
"2001","Belgium","Million euro","264,334.9",""
"2002","Belgium","Million euro","273,255.9",""
"2003","Belgium","Million euro","281,200.2",""
"2004","Belgium","Million euro","296,819.7",""
"2005","Belgium","Million euro","310,037.6",""
"2006","Belgium","Million euro","325,151.5",""
"2007","Belgium","Million euro","343,618.9",""
"2008","Belgium","Million euro","351,743.1",""
"2009","Belgium","Million euro","346,472.8",""
"2010","Belgium","Million euro","363,140.1",""
"2011","Belgium","Million euro","375,967.8",""
"2012","Belgium","Million euro","386,174.7",""
"2013","Belgium","Million euro","392,880",""
"2014","Belgium","Million euro","403,003.3",""
"2015","Belgium","Million euro","416,701.4","b"
"2016","Belgium","Million euro","430,372.1",""
"2017","Belgium","Million euro","446,364.9",""
"2018","Belgium","Million euro","459,819.8",""
"2000","Bruxelles / Brussel","Million euro","77,281","u"
"2001","Bruxelles / Brussel","Million euro","81,082","u"
"2002","Bruxelles / Brussel","Million euro","83,710","u"
"2003","Bruxelles / Brussel","Million euro","85,529.56",""
"2004","Bruxelles / Brussel","Million euro","90,776.48",""
"2005","Bruxelles / Brussel","Million euro","95,022.79",""
"2006","Bruxelles / Brussel","Million euro","98,844.44",""
"2007","Bruxelles / Brussel","Million euro","104,251.32",""
"2008","Bruxelles / Brussel","Million euro","106,676.81",""
"2009","Bruxelles / Brussel","Million euro","107,444.68",""
"2010","Bruxelles / Brussel","Million euro","112,911.66",""
"2011","Bruxelles / Brussel","Million euro","115,399.11",""
"2012","Bruxelles / Brussel","Million euro","119,414.83",""
"2013","Bruxelles / Brussel","Million euro","121,475.81",""
"2014","Bruxelles / Brussel","Million euro","124,792.72",""
"2015","Bruxelles / Brussel","Million euro","129,779","b"
"2016","Bruxelles / Brussel","Million euro","134,293.37",""
"2017","Bruxelles / Brussel","Million euro","137,974.75",""
"2018","Bruxelles / Brussel","Million euro","141,689.31",""
"2000","Antwerpen","Million euro","29,660","u"
"2001","Antwerpen","Million euro","30,095","u"
"2002","Antwerpen","Million euro","31,205","u"
"2003","Antwerpen","Million euro","31,852.14",""
"2004","Antwerpen","Million euro","34,048.6",""
"2005","Antwerpen","Million euro","36,451.86",""
"2006","Antwerpen","Million euro","37,858.64",""
"2007","Antwerpen","Million euro","39,919.68",""
"2008","Antwerpen","Million euro","41,129.6",""
"2009","Antwerpen","Million euro","38,499.78",""
"2010","Antwerpen","Million euro","40,746.51",""
"2011","Antwerpen","Million euro","42,455.13",""
"2012","Antwerpen","Million euro","43,774.33",""
"2013","Antwerpen","Million euro","44,090.79",""
"2014","Antwerpen","Million euro","45,100.91",""
"2015","Antwerpen","Million euro","47,277","b"
"2016","Antwerpen","Million euro","48,646.35",""
"2017","Antwerpen","Million euro","50,478.13",""
"2018","Antwerpen","Million euro","52,137.95",""
"2000","Gent","Million euro","14,938","u"
"2001","Gent","Million euro","15,249","u"
"2002","Gent","Million euro","15,965","u"
"2003","Gent","Million euro","16,451.6",""
"2004","Gent","Million euro","17,878.26",""
"2005","Gent","Million euro","18,460.66",""
"2006","Gent","Million euro","19,473.27",""
"2007","Gent","Million euro","20,741.89",""
"2008","Gent","Million euro","21,082.8",""
"2009","Gent","Million euro","21,086.23",""
"2010","Gent","Million euro","22,304.07",""
"2011","Gent","Million euro","23,095.66",""
"2012","Gent","Million euro","23,685.15",""
"2013","Gent","Million euro","24,440.11",""
"2014","Gent","Million euro","25,165.8",""
"2015","Gent","Million euro","26,373","b"
"2016","Gent","Million euro","27,470.15",""
"2017","Gent","Million euro","28,830.02",""
"2018","Gent","Million euro","29,916.27",""
"2000","Charleroi","Million euro","8,039","u"
"2001","Charleroi","Million euro","8,230","u"
"2002","Charleroi","Million euro","8,291","u"
"2003","Charleroi","Million euro","8,624.04",""
"2004","Charleroi","Million euro","9,067.73",""
"2005","Charleroi","Million euro","9,414.97",""
"2006","Charleroi","Million euro","9,760.37",""
"2007","Charleroi","Million euro","10,249.44",""
"2008","Charleroi","Million euro","10,674.05",""
"2009","Charleroi","Million euro","9,955.98",""
"2010","Charleroi","Million euro","10,439.29",""
"2011","Charleroi","Million euro","10,897.71",""
"2012","Charleroi","Million euro","10,762.62",""
"2013","Charleroi","Million euro","10,721.1",""
"2014","Charleroi","Million euro","11,172.77",""
"2015","Charleroi","Million euro","11,278","b"
"2016","Charleroi","Million euro","11,384.32",""
"2017","Charleroi","Million euro","11,689.12",""
"2018","Charleroi","Million euro","11,682.73",""
"2000","Liège","Million euro","12,561","u"
"2001","Liège","Million euro","12,737","u"
"2002","Liège","Million euro","13,013","u"
"2003","Liège","Million euro","13,422.93",""
"2004","Liège","Million euro","14,265.33",""
"2005","Liège","Million euro","14,961.68",""
"2006","Liège","Million euro","15,733.92",""
"2007","Liège","Million euro","16,449.34",""
"2008","Liège","Million euro","17,050.4",""
"2009","Liège","Million euro","16,696.55",""
"2010","Liège","Million euro","17,274.92",""
"2011","Liège","Million euro","17,876.78",""
"2012","Liège","Million euro","18,172.68",""
"2013","Liège","Million euro","18,432.76",""
"2014","Liège","Million euro","18,915.03",""
"2015","Liège","Million euro","19,236","b"
"2016","Liège","Million euro","19,774.07",""
"2017","Liège","Million euro","20,735.05",""
"2018","Liège","Million euro","21,195.7",""
"2000","Non-metropolitan regions in Belgium","Million euro","113,568","u"
"2001","Non-metropolitan regions in Belgium","Million euro","116,598","u"
"2002","Non-metropolitan regions in Belgium","Million euro","120,737","u"
"2003","Non-metropolitan regions in Belgium","Million euro","125,035.22",""
"2004","Non-metropolitan regions in Belgium","Million euro","130,564.22",""
"2005","Non-metropolitan regions in Belgium","Million euro","135,549.29",""
"2006","Non-metropolitan regions in Belgium","Million euro","143,307.35",""
"2007","Non-metropolitan regions in Belgium","Million euro","151,828.8",""
"2008","Non-metropolitan regions in Belgium","Million euro","154,945.13",""
"2009","Non-metropolitan regions in Belgium","Million euro","152,596.26",""
"2010","Non-metropolitan regions in Belgium","Million euro","159,218.88",""
"2011","Non-metropolitan regions in Belgium","Million euro","165,989.93",""
"2012","Non-metropolitan regions in Belgium","Million euro","170,097.95",""
"2013","Non-metropolitan regions in Belgium","Million euro","173,447.72",""
