"TIME","METROREG","AGE","SEX","Value","Flag and Footnotes"
"1999","Belgium","Total","Total","10,213,752",""
"2000","Belgium","Total","Total","10,239,085",""
"2001","Belgium","Total","Total","10,263,414",""
"2002","Belgium","Total","Total","10,309,725",""
"2003","Belgium","Total","Total","10,355,844",""
"2004","Belgium","Total","Total","10,396,421",""
"2005","Belgium","Total","Total","10,445,852",""
"2006","Belgium","Total","Total","10,511,382",""
"2007","Belgium","Total","Total","10,584,534",""
"2008","Belgium","Total","Total","10,666,866",""
"2009","Belgium","Total","Total","10,753,080",""
"2010","Belgium","Total","Total","10,839,905",""
"2011","Belgium","Total","Total","11,000,638","b"
"2012","Belgium","Total","Total","11,075,889","b"
"2013","Belgium","Total","Total","11,137,974",""
"2014","Belgium","Total","Total","11,180,840","b"
"2015","Belgium","Total","Total","11,237,274",""
"2016","Belgium","Total","Total","11,311,117",""
"2017","Belgium","Total","Total","11,351,727",""
"2018","Belgium","Total","Total","11,398,589",""
"2019","Belgium","Total","Total","11,455,519",""
"1999","Bruxelles / Brussel","Total","Total",":",""
"2000","Bruxelles / Brussel","Total","Total","2,129,716",""
"2001","Bruxelles / Brussel","Total","Total","2,138,898",""
"2002","Bruxelles / Brussel","Total","Total","2,159,154",""
"2003","Bruxelles / Brussel","Total","Total","2,178,354",""
"2004","Bruxelles / Brussel","Total","Total","2,192,352",""
"2005","Bruxelles / Brussel","Total","Total","2,207,136",""
"2006","Bruxelles / Brussel","Total","Total","2,226,958",""
"2007","Bruxelles / Brussel","Total","Total","2,249,356",""
"2008","Bruxelles / Brussel","Total","Total","2,275,888",""
"2009","Bruxelles / Brussel","Total","Total","2,304,386",""
"2010","Bruxelles / Brussel","Total","Total","2,336,052",""
"2011","Bruxelles / Brussel","Total","Total","2,397,749","b"
"2012","Bruxelles / Brussel","Total","Total","2,422,109","b"
"2013","Bruxelles / Brussel","Total","Total","2,445,115",""
"2014","Bruxelles / Brussel","Total","Total","2,460,238","b"
"2015","Bruxelles / Brussel","Total","Total","2,480,484",""
"2016","Bruxelles / Brussel","Total","Total","2,507,610",""
"2017","Bruxelles / Brussel","Total","Total","2,513,849",""
"2018","Bruxelles / Brussel","Total","Total","2,528,996",""
"2019","Bruxelles / Brussel","Total","Total","2,548,941",""
"1999","Antwerpen","Total","Total",":",""
"2000","Antwerpen","Total","Total","932,103",""
"2001","Antwerpen","Total","Total","931,567",""
"2002","Antwerpen","Total","Total","935,381",""
"2003","Antwerpen","Total","Total","940,681",""
"2004","Antwerpen","Total","Total","944,921",""
"2005","Antwerpen","Total","Total","948,858",""
"2006","Antwerpen","Total","Total","954,680",""
"2007","Antwerpen","Total","Total","961,131",""
"2008","Antwerpen","Total","Total","969,563",""
"2009","Antwerpen","Total","Total","977,612",""
"2010","Antwerpen","Total","Total","985,332",""
"2011","Antwerpen","Total","Total","1,005,002","b"
"2012","Antwerpen","Total","Total","1,014,016","b"
"2013","Antwerpen","Total","Total","1,020,901",""
"2014","Antwerpen","Total","Total","1,024,987","b"
"2015","Antwerpen","Total","Total","1,030,055",""
"2016","Antwerpen","Total","Total","1,036,031",""
"2017","Antwerpen","Total","Total","1,041,811",""
"2018","Antwerpen","Total","Total","1,047,030",""
"2019","Antwerpen","Total","Total","1,053,033",""
"1999","Gent","Total","Total",":",""
"2000","Gent","Total","Total","574,852",""
"2001","Gent","Total","Total","576,036",""
"2002","Gent","Total","Total","577,988",""
"2003","Gent","Total","Total","580,168",""
"2004","Gent","Total","Total","581,956",""
"2005","Gent","Total","Total","584,938",""
"2006","Gent","Total","Total","589,258",""
"2007","Gent","Total","Total","592,954",""
