,TIME,METROREG,employed_persons,gdp,population,latitude,longitude
19,2000,Bruxelles / Brussel,1075.0,77281.0,2129716.0,50.8465573,4.351697
20,2001,Bruxelles / Brussel,1100.0,81082.0,2138898.0,50.8465573,4.351697
21,2002,Bruxelles / Brussel,1089.0,83710.0,2159154.0,50.8465573,4.351697
22,2003,Bruxelles / Brussel,1088.4,85529.56,2178354.0,50.8465573,4.351697
23,2004,Bruxelles / Brussel,1093.9,90776.48,2192352.0,50.8465573,4.351697
24,2005,Bruxelles / Brussel,1111.2,95022.79,2207136.0,50.8465573,4.351697
25,2006,Bruxelles / Brussel,1111.0,98844.44,2226958.0,50.8465573,4.351697
26,2007,Bruxelles / Brussel,1134.1,104251.32,2249356.0,50.8465573,4.351697
27,2008,Bruxelles / Brussel,1157.0,106676.81,2275888.0,50.8465573,4.351697
28,2009,Bruxelles / Brussel,1160.1,107444.68,2304386.0,50.8465573,4.351697
29,2010,Bruxelles / Brussel,1163.0,112911.66,2336052.0,50.8465573,4.351697
30,2011,Bruxelles / Brussel,1182.5,115399.11,2397749.0,50.8465573,4.351697
31,2012,Bruxelles / Brussel,1188.7,119414.83,2422109.0,50.8465573,4.351697
32,2013,Bruxelles / Brussel,1187.3,121475.81,2445115.0,50.8465573,4.351697
33,2014,Bruxelles / Brussel,1194.2,124792.72,2460238.0,50.8465573,4.351697
34,2015,Bruxelles / Brussel,1199.4,129779.0,2480484.0,50.8465573,4.351697
35,2016,Bruxelles / Brussel,1212.0,134293.37,2507610.0,50.8465573,4.351697
36,2017,Bruxelles / Brussel,1228.4,137974.75,2513849.0,50.8465573,4.351697
37,2018,Bruxelles / Brussel,1241.2,141689.31,2528996.0,50.8465573,4.351697
38,2000,Antwerpen,421.0,29660.0,932103.0,51.2211097,4.3997081
39,2001,Antwerpen,423.0,30095.0,931567.0,51.2211097,4.3997081
40,2002,Antwerpen,425.0,31205.0,935381.0,51.2211097,4.3997081
41,2003,Antwerpen,422.6,31852.14,940681.0,51.2211097,4.3997081
42,2004,Antwerpen,428.7,34048.6,944921.0,51.2211097,4.3997081
43,2005,Antwerpen,434.9,36451.86,948858.0,51.2211097,4.3997081
44,2006,Antwerpen,441.4,37858.64,954680.0,51.2211097,4.3997081
45,2007,Antwerpen,447.5,39919.68,961131.0,51.2211097,4.3997081
46,2008,Antwerpen,455.3,41129.6,969563.0,51.2211097,4.3997081
47,2009,Antwerpen,456.4,38499.78,977612.0,51.2211097,4.3997081
48,2010,Antwerpen,459.3,40746.51,985332.0,51.2211097,4.3997081
49,2011,Antwerpen,463.7,42455.13,1005002.0,51.2211097,4.3997081
50,2012,Antwerpen,464.9,43774.33,1014016.0,51.2211097,4.3997081
51,2013,Antwerpen,463.5,44090.79,1020901.0,51.2211097,4.3997081
52,2014,Antwerpen,462.6,45100.91,1024987.0,51.2211097,4.3997081
53,2015,Antwerpen,466.5,47277.0,1030055.0,51.2211097,4.3997081
54,2016,Antwerpen,471.6,48646.35,1036031.0,51.2211097,4.3997081
55,2017,Antwerpen,480.1,50478.13,1041811.0,51.2211097,4.3997081
56,2018,Antwerpen,487.1,52137.95,1047030.0,51.2211097,4.3997081
57,2000,Gent,251.0,14938.0,574852.0,51.0538286,3.7250121
58,2001,Gent,253.0,15249.0,576036.0,51.0538286,3.7250121
59,2002,Gent,256.0,15965.0,577988.0,51.0538286,3.7250121
60,2003,Gent,257.6,16451.6,580168.0,51.0538286,3.7250121
61,2004,Gent,260.8,17878.26,581956.0,51.0538286,3.7250121
62,2005,Gent,264.7,18460.66,584938.0,51.0538286,3.7250121
63,2006,Gent,269.9,19473.27,589258.0,51.0538286,3.7250121
64,2007,Gent,275.1,20741.89,592954.0,51.0538286,3.7250121
65,2008,Gent,281.3,21082.8,597473.0,51.0538286,3.7250121
66,2009,Gent,282.8,21086.23,603218.0,51.0538286,3.7250121
67,2010,Gent,285.8,22304.07,609169.0,51.0538286,3.7250121
68,2011,Gent,290.6,23095.66,617160.0,51.0538286,3.7250121
69,2012,Gent,291.7,23685.15,619928.0,51.0538286,3.7250121
70,2013,Gent,293.3,24440.11,622037.0,51.0538286,3.7250121
71,2014,Gent,297.2,25165.8,625402.0,51.0538286,3.7250121
72,2015,Gent,303.3,26373.0,629182.0,51.0538286,3.7250121
73,2016,Gent,308.9,27470.15,634725.0,51.0538286,3.7250121
74,2017,Gent,316.7,28830.02,638941.0,51.0538286,3.7250121
75,2018,Gent,323.3,29916.27,641782.0,51.0538286,3.7250121
95,2000,Liège,230.0,12561.0,653876.0,50.6451381,5.5734203
96,2001,Liège,229.0,12737.0,653165.0,50.6451381,5.5734203
97,2002,Liège,230.0,13013.0,655106.0,50.6451381,5.5734203
98,2003,Liège,227.8,13422.93,655203.0,50.6451381,5.5734203
99,2004,Liège,233.3,14265.33,657530.0,50.6451381,5.5734203
100,2005,Liège,235.8,14961.68,659637.0,50.6451381,5.5734203
101,2006,Liège,237.8,15733.92,663239.0,50.6451381,5.5734203
102,2007,Liège,240.0,16449.34,667685.0,50.6451381,5.5734203
103,2008,Liège,244.7,17050.4,671383.0,50.6451381,5.5734203
104,2009,Liège,244.6,16696.55,675100.0,50.6451381,5.5734203
105,2010,Liège,247.3,17274.92,679650.0,50.6451381,5.5734203
106,2011,Liège,249.0,17876.78,689047.0,50.6451381,5.5734203
107,2012,Liège,249.2,18172.68,692988.0,50.6451381,5.5734203
108,2013,Liège,247.9,18432.76,697056.0,50.6451381,5.5734203
109,2014,Liège,248.4,18915.03,698644.0,50.6451381,5.5734203
110,2015,Liège,250.3,19236.0,700719.0,50.6451381,5.5734203
111,2016,Liège,253.2,19774.07,703456.0,50.6451381,5.5734203
112,2017,Liège,258.4,20735.05,705461.0,50.6451381,5.5734203
113,2018,Liège,261.6,21195.7,707191.0,50.6451381,5.5734203
152,2000,Sofia,757.87,4344.92,1627003.0,-15.2538402,48.2562163
153,2001,Sofia,791.88,5084.92,1630219.0,-15.2538402,48.2562163
154,2002,Sofia,796.61,5906.14,1608514.0,-15.2538402,48.2562163
155,2003,Sofia,795.64,6394.5,1619797.0,-15.2538402,48.2562163
156,2004,Sofia,802.33,7370.89,1629662.0,-15.2538402,48.2562163
157,2005,Sofia,881.23,8614.34,1637554.0,-15.2538402,48.2562163
158,2006,Sofia,956.91,10632.65,1644367.0,-15.2538402,48.2562163
159,2007,Sofia,1013.55,13353.15,1650277.0,-15.2538402,48.2562163
160,2008,Sofia,1072.04,15668.5,1655619.0,-15.2538402,48.2562163
161,2009,Sofia,1069.74,16082.16,1661603.0,-15.2538402,48.2562163
162,2010,Sofia,1055.49,16808.03,1667989.0,-15.2538402,48.2562163
163,2011,Sofia,1041.46,18288.33,1673116.0,-15.2538402,48.2562163
164,2012,Sofia,1006.0,18318.09,1674218.0,-15.2538402,48.2562163
165,2013,Sofia,1005.0,18224.64,1675810.0,-15.2538402,48.2562163
166,2014,Sofia,1018.0,18582.78,1679207.0,-15.2538402,48.2562163
167,2015,Sofia,1025.0,20248.57,1681666.0,-15.2538402,48.2562163
168,2016,Sofia,1055.0,21549.08,1682340.0,-15.2538402,48.2562163
169,2017,Sofia,1084.0,23236.58,1681592.0,-15.2538402,48.2562163
170,2018,Sofia,1135.0357520851157,24633.89071864944,1679413.0,-15.2538402,48.2562163
171,2000,Plovdiv,276.4,1061.7,729447.0,42.1418541,24.7499297
172,2001,Plovdiv,276.19,1201.54,728246.0,42.1418541,24.7499297
173,2002,Plovdiv,288.27,1275.22,711933.0,42.1418541,24.7499297
174,2003,Plovdiv,302.97,1418.2,707748.0,42.1418541,24.7499297
175,2004,Plovdiv,302.07,1616.06,703830.0,42.1418541,24.7499297
176,2005,Plovdiv,322.19,1875.88,700627.0,42.1418541,24.7499297
177,2006,Plovdiv,329.12,2058.74,697194.0,42.1418541,24.7499297
178,2007,Plovdiv,335.29,2364.99,693734.0,42.1418541,24.7499297
179,2008,Plovdiv,353.31,2575.24,690683.0,42.1418541,24.7499297
180,2009,Plovdiv,347.62,2816.17,687879.0,42.1418541,24.7499297
181,2010,Plovdiv,335.59,2826.62,685860.0,42.1418541,24.7499297
182,2011,Plovdiv,325.22,3099.33,683298.0,42.1418541,24.7499297
183,2012,Plovdiv,319.0,3171.24,680884.0,42.1418541,24.7499297
184,2013,Plovdiv,313.0,3237.85,678860.0,42.1418541,24.7499297
185,2014,Plovdiv,314.0,3184.92,678197.0,42.1418541,24.7499297
186,2015,Plovdiv,315.0,3513.01,675586.0,42.1418541,24.7499297
187,2016,Plovdiv,322.0,3871.12,673283.0,42.1418541,24.7499297
188,2017,Plovdiv,344.0,4165.95,671573.0,42.1418541,24.7499297
189,2018,Plovdiv,340.95372549089836,4203.185882452953,669796.0,42.1418541,24.7499297
266,2000,Praha,1270.0,22431.81,2298209.0,50.0874654,14.4212535
267,2001,Praha,1272.0,25604.46,2292067.0,50.0874654,14.4212535
268,2002,Praha,1298.0,29906.06,2281771.0,50.0874654,14.4212535
269,2003,Praha,1290.0,30578.25,2286046.0,50.0874654,14.4212535
270,2004,Praha,1295.0,33402.7,2294428.0,50.0874654,14.4212535
271,2005,Praha,1326.0,38236.08,2305259.0,50.0874654,14.4212535
272,2006,Praha,1379.0,43832.1,2327773.0,50.0874654,14.4212535
273,2007,Praha,1401.0,49828.54,2348897.0,50.0874654,14.4212535
274,2008,Praha,1473.0,58911.0,2397045.0,50.0874654,14.4212535
275,2009,Praha,1484.0,53868.96,2444705.0,50.0874654,14.4212535
276,2010,Praha,1462.0,56895.67,2475262.0,50.0874654,14.4212535
277,2011,Praha,1451.0,58754.65,2499023.0,50.0874654,14.4212535
278,2012,Praha,1474.0,57811.49,2521009.0,50.0874654,14.4212535
279,2013,Praha,1472.0,56337.66,2538596.0,50.0874654,14.4212535
280,2014,Praha,1451.0,55816.83,2545537.0,50.0874654,14.4212535
281,2015,Praha,1475.0,61471.15,2574378.0,50.0874654,14.4212535
282,2016,Praha,1490.0,65041.21,2594325.0,50.0874654,14.4212535
283,2017,Praha,1536.0,71535.21,2619490.0,50.0874654,14.4212535
284,2018,Praha,1553.0196071021066,73333.22791605872,2647308.0,50.0874654,14.4212535
285,2000,Brno,536.0,6702.23,1121120.2087500114,49.1922443,16.6113382
286,2001,Brno,524.0,7565.92,1135045.0,49.1922443,16.6113382
287,2002,Brno,517.0,8706.34,1132200.0,49.1922443,16.6113382
288,2003,Brno,523.0,8891.39,1130156.0,49.1922443,16.6113382
289,2004,Brno,519.0,9567.43,1131603.0,49.1922443,16.6113382
290,2005,Brno,530.0,10826.0,1132975.0,49.1922443,16.6113382
291,2006,Brno,533.0,12242.75,1133821.0,49.1922443,16.6113382
292,2007,Brno,550.0,13821.6,1136827.0,49.1922443,16.6113382
293,2008,Brno,566.0,16556.03,1145726.0,49.1922443,16.6113382
294,2009,Brno,553.0,15278.68,1153392.0,49.1922443,16.6113382
295,2010,Brno,555.0,16140.34,1159205.0,49.1922443,16.6113382
296,2011,Brno,554.0,17147.32,1163627.0,49.1922443,16.6113382
297,2012,Brno,563.0,17270.43,1166313.0,49.1922443,16.6113382
298,2013,Brno,573.0,17433.82,1168650.0,49.1922443,16.6113382
299,2014,Brno,576.0,17195.99,1170078.0,49.1922443,16.6113382
300,2015,Brno,591.0,18408.84,1172853.0,49.1922443,16.6113382
301,2016,Brno,595.0,18956.98,1175025.0,49.1922443,16.6113382
302,2017,Brno,597.0,20184.37,1178812.0,49.1922443,16.6113382
303,2018,Brno,596.888888890149,21536.623170468465,1183207.0,49.1922443,16.6113382
304,2000,Ostrava,525.0,6412.38,1281410.0,49.8349139,18.2820084
305,2001,Ostrava,522.0,7228.81,1265283.0,49.8349139,18.2820084
306,2002,Ostrava,532.0,8281.5,1260534.0,49.8349139,18.2820084
307,2003,Ostrava,517.0,8347.44,1256298.0,49.8349139,18.2820084
308,2004,Ostrava,512.0,9543.18,1252953.0,49.8349139,18.2820084
309,2005,Ostrava,529.0,11248.93,1249280.0,49.8349139,18.2820084
310,2006,Ostrava,527.0,12379.04,1245765.0,49.8349139,18.2820084
311,2007,Ostrava,543.0,13820.92,1243309.0,49.8349139,18.2820084
312,2008,Ostrava,553.0,16180.73,1243044.0,49.8349139,18.2820084
313,2009,Ostrava,539.0,14367.97,1242634.0,49.8349139,18.2820084
314,2010,Ostrava,529.0,15376.32,1239176.0,49.8349139,18.2820084
315,2011,Ostrava,528.0,16509.92,1234705.0,49.8349139,18.2820084
316,2012,Ostrava,534.0,16252.71,1230613.0,49.8349139,18.2820084
317,2013,Ostrava,534.0,15291.04,1226602.0,49.8349139,18.2820084
318,2014,Ostrava,540.0,15246.48,1221832.0,49.8349139,18.2820084
319,2015,Ostrava,541.0,16127.18,1217676.0,49.8349139,18.2820084
320,2016,Ostrava,557.0,16788.48,1213311.0,49.8349139,18.2820084
321,2017,Ostrava,569.0,18016.66,1209879.0,49.8349139,18.2820084
322,2018,Ostrava,552.9477124194652,19354.84681429409,1205886.0,49.8349139,18.2820084
323,2000,Plzen,270.0,3368.13,543702.2877235018,49.7477415,13.3775249
324,2001,Plzen,270.0,3812.7,550804.0,49.7477415,13.3775249
325,2002,Plzen,272.0,4377.89,549492.0,49.7477415,13.3775249
326,2003,Plzen,265.0,4480.74,549143.0,49.7477415,13.3775249
327,2004,Plzen,271.0,5012.84,549769.0,49.7477415,13.3775249
328,2005,Plzen,281.0,5548.62,549155.0,49.7477415,13.3775249
329,2006,Plzen,279.0,6413.49,550931.0,49.7477415,13.3775249
330,2007,Plzen,280.0,6863.51,553820.0,49.7477415,13.3775249
331,2008,Plzen,284.0,7595.54,560286.0,49.7477415,13.3775249
332,2009,Plzen,279.0,7326.91,568798.0,49.7477415,13.3775249
333,2010,Plzen,279.0,7856.38,571020.0,49.7477415,13.3775249
334,2011,Plzen,278.0,8239.39,571256.0,49.7477415,13.3775249
335,2012,Plzen,278.0,7891.52,571709.0,49.7477415,13.3775249
336,2013,Plzen,280.0,8011.5,572687.0,49.7477415,13.3775249
337,2014,Plzen,274.0,8098.74,573469.0,49.7477415,13.3775249
338,2015,Plzen,280.0,8549.95,575123.0,49.7477415,13.3775249
